Data,Countries,Local,Industry Sector,Years of Experience,Age,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
3/2/2016 0:00,Country_01,Local_06,Metals,6.6,23,I,III,Male,Employee,Blocking and isolation of energies
3/3/2016 0:00,Country_01,Local_03,Mining,3.9,53,I,III,Male,Third Party,Others
3/4/2016 0:00,Country_01,Local_06,Metals,5.4,51,I,III,Male,Employee,Manual Tools
3/5/2016 0:00,Country_01,Local_03,Mining,4.8,52,I,IV,Male,Employee,Others
3/6/2016 0:00,Country_01,Local_04,Mining,6.7,43,I,III,Male,Employee,Others
3/6/2016 0:00,Country_01,Local_03,Mining,5.8,41,III,IV,Male,Third Party (Remote),Others
3/9/2016 0:00,Country_01,Local_06,Metals,6.8,36,I,IV,Male,Third Party,Suspended Loads
3/11/2016 0:00,Country_01,Local_03,Mining,2.2,53,III,V,Male,Third Party,Others
3/11/2016 0:00,Country_01,Local_03,Mining,4.1,56,I,V,Male,Third Party,Others
3/13/2016 0:00,Country_01,Local_03,Mining,7.3,23,I,IV,Male,Third Party (Remote),Others
3/12/2016 0:00,Country_02,Local_07,Mining,4.6,23,III,IV,Male,Employee,Others
3/14/2016 0:00,Country_01,Local_06,Metals,2.3,43,II,III,Male,Third Party (Remote),Chemical substances
3/13/2016 0:00,Country_01,Local_03,Mining,4.6,60,I,III,Male,Employee,Others
3/16/2016 0:00,Country_01,Local_04,Mining,7.9,46,I,II,Male,Third Party,Others
3/10/2016 0:00,Country_02,Local_05,Metals,2.2,44,I,II,Male,Employee,Pressed
3/17/2016 0:00,Country_01,Local_01,Mining,4.4,46,I,II,Male,Third Party,Others
3/16/2016 0:00,Country_02,Local_08,Metals,5.7,24,II,II,Male,Employee,Manual Tools
3/18/2016 0:00,Country_01,Local_04,Mining,3.7,38,IV,IV,Male,Third Party,Others
3/19/2016 0:00,Country_01,Local_01,Mining,2.5,49,I,III,Male,Employee,Others
3/14/2016 0:00,Country_02,Local_05,Metals,4.1,39,I,IV,Male,Employee,Chemical substances
3/18/2016 0:00,Country_02,Local_05,Metals,2.6,34,I,IV,Male,Employee,Fall prevention (same level)
3/18/2016 0:00,Country_02,Local_05,Metals,5,55,I,IV,Male,Employee,Chemical substances
3/22/2016 0:00,Country_01,Local_03,Mining,7.3,47,I,II,Male,Employee,Others
3/22/2016 0:00,Country_01,Local_01,Mining,2.6,38,IV,IV,Male,Third Party,Others
3/25/2016 0:00,Country_01,Local_01,Mining,8.1,22,I,IV,Male,Third Party,Others
3/30/2016 0:00,Country_01,Local_04,Mining,4.6,57,II,IV,Male,Third Party,Others
3/30/2016 0:00,Country_01,Local_03,Mining,7.6,30,I,III,Male,Employee,Others
3/31/2016 0:00,Country_01,Local_06,Metals,4.1,45,I,III,Male,Employee,Others
3/31/2016 0:00,Country_02,Local_08,Metals,9.2,37,I,III,Male,Third Party (Remote),Pressed
4/1/2016 0:00,Country_01,Local_03,Mining,8.6,54,I,III,Male,Third Party,Others
4/3/2016 0:00,Country_01,Local_01,Mining,5.7,27,III,V,Male,Third Party,Others
4/2/2016 0:00,Country_01,Local_01,Mining,4.7,26,I,III,Male,Employee,Others
4/1/2016 0:00,Country_01,Local_01,Mining,5.3,36,I,V,Male,Third Party (Remote),Others
4/1/2016 0:00,Country_01,Local_01,Mining,6.1,52,I,V,Male,Third Party (Remote),Others
3/10/2016 0:00,Country_03,Local_10,Others,4,40,II,II,Male,Third Party,Others
3/24/2016 0:00,Country_03,Local_10,Others,0.7,49,IV,IV,Male,Third Party,Poll
3/22/2016 0:00,Country_03,Local_10,Others,4.6,31,I,I,Male,Third Party,Others
3/31/2016 0:00,Country_01,Local_03,Mining,8.2,56,I,II,Male,Third Party,Others
4/4/2016 0:00,Country_02,Local_09,Metals,3,36,III,IV,Male,Employee,Manual Tools
4/5/2016 0:00,Country_01,Local_06,Metals,4.8,30,I,III,Male,Third Party,Fall prevention (same level)
4/5/2016 0:00,Country_02,Local_05,Metals,5.2,20,I,III,Male,Third Party,Pressed
4/7/2016 0:00,Country_01,Local_03,Mining,2.5,31,I,II,Male,Third Party,Others
4/8/2016 0:00,Country_01,Local_03,Mining,3.6,53,I,IV,Male,Employee,Others
4/11/2016 0:00,Country_01,Local_01,Mining,5.1,56,I,IV,Male,Third Party,Others
4/11/2016 0:00,Country_01,Local_01,Mining,7,28,I,IV,Male,Employee,Others
4/14/2016 0:00,Country_02,Local_08,Metals,4.3,43,I,III,Male,Employee,Pressurized Systems
4/14/2016 0:00,Country_01,Local_04,Mining,2.4,56,I,II,Male,Third Party,Others
4/16/2016 0:00,Country_01,Local_04,Mining,0.2,36,I,III,Male,Third Party,Others
4/16/2016 0:00,Country_01,Local_03,Mining,4.9,30,I,III,Male,Third Party,Others
4/15/2016 0:00,Country_01,Local_03,Mining,9.2,49,I,II,Male,Employee,Others
4/17/2016 0:00,Country_02,Local_05,Metals,1.2,30,I,IV,Male,Employee,Cut
4/18/2016 0:00,Country_01,Local_03,Mining,5.3,32,I,III,Male,Third Party,Others
4/21/2016 0:00,Country_02,Local_02,Mining,7,20,I,V,Male,Employee,Others
4/22/2016 0:00,Country_01,Local_01,Mining,4.5,60,I,II,Male,Third Party,Others
4/23/2016 0:00,Country_01,Local_04,Mining,4.7,35,I,III,Male,Employee,Others
4/22/2016 0:00,Country_02,Local_05,Metals,1.7,28,II,IV,Male,Third Party,Pressurized Systems / Chemical Substances
4/26/2016 0:00,Country_02,Local_05,Metals,6.6,53,I,II,Female,Third Party,Cut
4/28/2016 0:00,Country_02,Local_05,Metals,5.3,43,I,III,Male,Third Party (Remote),Chemical substances
4/29/2016 0:00,Country_01,Local_04,Mining,3.1,25,III,IV,Male,Third Party,Others
4/30/2016 0:00,Country_02,Local_05,Metals,2.3,22,I,IV,Male,Employee,Pressed
4/30/2016 0:00,Country_01,Local_01,Mining,0.6,30,I,II,Male,Employee,Others
4/30/2016 0:00,Country_01,Local_03,Mining,1.4,29,IV,IV,Male,Third Party,Others
5/1/2016 0:00,Country_01,Local_04,Mining,6.3,23,I,IV,Male,Third Party,Others
5/2/2016 0:00,Country_02,Local_05,Metals,0.1,55,I,IV,Female,Third Party (Remote),Chemical substances
5/4/2016 0:00,Country_03,Local_10,Others,5.7,25,I,I,Male,Third Party,Manual Tools
5/3/2016 0:00,Country_01,Local_04,Mining,3.8,41,II,IV,Male,Third Party,Others
5/4/2016 0:00,Country_01,Local_04,Mining,5.2,22,I,III,Male,Employee,Others
5/4/2016 0:00,Country_02,Local_05,Metals,0.2,25,I,III,Female,Third Party (Remote),Chemical substances
5/4/2016 0:00,Country_02,Local_05,Metals,0.2,57,I,III,Male,Third Party (Remote),Chemical substances
5/5/2016 0:00,Country_02,Local_05,Metals,6.2,40,I,III,Male,Third Party,Manual Tools
5/5/2016 0:00,Country_02,Local_08,Metals,5.9,51,I,II,Male,Third Party (Remote),Manual Tools
5/11/2016 0:00,Country_01,Local_03,Mining,5.9,27,I,III,Male,Third Party,Others
5/12/2016 0:00,Country_01,Local_06,Metals,7.7,22,I,II,Male,Third Party (Remote),Chemical substances
5/11/2016 0:00,Country_01,Local_01,Mining,4.7,22,I,IV,Male,Third Party,Others
5/14/2016 0:00,Country_01,Local_01,Mining,7.8,43,I,IV,Male,Third Party,Others
5/17/2016 0:00,Country_01,Local_11,Others,3.4,50,I,II,Male,Employee,Others
5/19/2016 0:00,Country_01,Local_03,Mining,7.2,26,I,IV,Male,Third Party (Remote),Others
5/18/2016 0:00,Country_02,Local_05,Metals,1.9,45,I,III,Male,Employee,Others
5/22/2016 0:00,Country_02,Local_08,Metals,3.8,35,I,III,Male,Employee,Blocking and isolation of energies
5/20/2016 0:00,Country_01,Local_06,Metals,5.7,51,I,I,Male,Third Party,Fall prevention (same level)
5/22/2016 0:00,Country_01,Local_03,Mining,2.1,41,I,IV,Male,Third Party,Others
5/24/2016 0:00,Country_03,Local_10,Others,2.7,59,IV,IV,Male,Third Party,Fall
5/12/2016 0:00,Country_01,Local_04,Mining,2.4,33,I,III,Male,Employee,Others
5/25/2016 0:00,Country_01,Local_04,Mining,5.8,26,II,III,Male,Employee,Others
5/27/2016 0:00,Country_02,Local_02,Mining,6.3,60,I,V,Male,Employee,Others
5/25/2016 0:00,Country_03,Local_10,Others,5.6,59,I,I,Male,Third Party,Bees
5/26/2016 0:00,Country_03,Local_10,Others,9.2,52,I,I,Male,Third Party,Bees
5/26/2016 0:00,Country_03,Local_10,Others,9.9,31,I,I,Male,Employee,Others
6/1/2016 0:00,Country_02,Local_05,Metals,0,25,I,III,Male,Employee,Cut
6/2/2016 0:00,Country_02,Local_05,Metals,2.9,33,I,III,Male,Employee,Cut
6/3/2016 0:00,Country_01,Local_01,Mining,4.1,52,I,II,Male,Third Party,Others
6/4/2016 0:00,Country_01,Local_04,Mining,1.7,27,V,V,Male,Third Party,Others
6/3/2016 0:00,Country_03,Local_10,Others,3.5,30,II,II,Male,Third Party,Others
6/5/2016 0:00,Country_01,Local_03,Mining,6.7,22,I,III,Male,Employee,Others
6/5/2016 0:00,Country_01,Local_06,Metals,7.8,60,I,I,Male,Employee,Fall prevention
6/8/2016 0:00,Country_01,Local_04,Mining,8.9,47,I,III,Male,Third Party,Others
6/7/2016 0:00,Country_01,Local_01,Mining,0.5,48,I,I,Male,Employee,Others
6/7/2016 0:00,Country_01,Local_03,Mining,8.3,52,I,III,Male,Third Party,Others
6/8/2016 0:00,Country_01,Local_06,Metals,3,54,IV,IV,Male,Employee,Fall prevention (same level)
6/8/2016 0:00,Country_03,Local_10,Others,0.9,36,I,I,Male,Third Party,Bees
6/8/2016 0:00,Country_03,Local_10,Others,3.8,27,I,I,Male,Third Party,Others
6/10/2016 0:00,Country_02,Local_05,Metals,4.6,43,I,III,Male,Third Party (Remote),Manual Tools
6/13/2016 0:00,Country_01,Local_01,Mining,4.6,41,I,IV,Male,Employee,Others
6/16/2016 0:00,Country_01,Local_03,Mining,7.1,23,I,IV,Male,Third Party,Others
6/16/2016 0:00,Country_03,Local_10,Others,9.4,25,I,I,Male,Third Party,Bees
6/16/2016 0:00,Country_03,Local_10,Others,6.3,20,I,I,Male,Third Party,Bees
6/16/2016 0:00,Country_03,Local_10,Others,3.1,54,I,I,Male,Third Party,Bees
6/16/2016 0:00,Country_03,Local_10,Others,0.2,20,I,I,Male,Third Party,Bees
6/18/2016 0:00,Country_03,Local_10,Others,0.4,21,I,I,Male,Employee,Bees
6/18/2016 0:00,Country_03,Local_10,Others,9.6,47,I,I,Male,Third Party,Bees
6/17/2016 0:00,Country_02,Local_08,Metals,0.8,20,IV,V,Male,Employee,"
Not applicable"
6/17/2016 0:00,Country_02,Local_08,Metals,0.9,43,IV,V,Male,Employee,Not applicable
6/17/2016 0:00,Country_02,Local_08,Metals,1.9,51,V,V,Male,Employee,Not applicable
6/19/2016 0:00,Country_01,Local_03,Mining,0.6,25,IV,IV,Male,Third Party,Others
6/21/2016 0:00,Country_01,Local_01,Mining,1.8,34,I,III,Male,Third Party,Others
6/22/2016 0:00,Country_01,Local_03,Mining,3,33,I,III,Male,Third Party (Remote),Others
6/23/2016 0:00,Country_02,Local_08,Metals,3.2,37,I,II,Male,Employee,Manual Tools
6/24/2016 0:00,Country_01,Local_01,Mining,7,53,I,III,Male,Third Party,Others
6/24/2016 0:00,Country_01,Local_01,Mining,6.7,47,I,IV,Male,Third Party,Others
6/29/2016 0:00,Country_01,Local_01,Mining,8,27,I,IV,Male,Employee,Others
7/2/2016 0:00,Country_01,Local_03,Mining,0.5,55,V,V,Male,Third Party,Others
7/4/2016 0:00,Country_01,Local_06,Metals,5.8,47,III,IV,Male,Third Party,Pressed
6/24/2016 0:00,Country_01,Local_03,Mining,3.9,56,I,II,Male,Third Party,Others
7/8/2016 0:00,Country_01,Local_01,Mining,3,33,I,II,Male,Employee,Others
7/7/2016 0:00,Country_01,Local_03,Mining,3.5,51,IV,V,Male,Third Party,Others
7/7/2016 0:00,Country_01,Local_03,Mining,8.3,55,I,IV,Male,Third Party,Others
7/8/2016 0:00,Country_01,Local_06,Metals,3.3,59,III,IV,Male,Third Party,Manual Tools
7/9/2016 0:00,Country_03,Local_10,Others,1.5,49,III,IV,Male,Third Party,Others
7/10/2016 0:00,Country_01,Local_04,Mining,0.8,21,IV,IV,Male,Third Party,Others
7/11/2016 0:00,Country_02,Local_05,Metals,0.1,48,III,IV,Male,Third Party (Remote),Suspended Loads
7/14/2016 0:00,Country_01,Local_03,Mining,3.6,21,I,II,Male,Employee,Others
7/15/2016 0:00,Country_02,Local_05,Metals,3.7,38,I,II,Female,Employee,Chemical substances
7/16/2016 0:00,Country_01,Local_03,Mining,5.4,40,I,IV,Male,Third Party,Others
7/18/2016 0:00,Country_01,Local_06,Metals,3.1,52,I,III,Male,Third Party,Fall prevention (same level)
7/20/2016 0:00,Country_02,Local_05,Metals,0.8,59,I,III,Male,Employee,Chemical substances
7/21/2016 0:00,Country_02,Local_12,Others,5.7,44,I,II,Female,Employee,Traffic
7/23/2016 0:00,Country_02,Local_08,Metals,9.8,59,I,II,Male,Third Party (Remote),Pressurized Systems
7/27/2016 0:00,Country_01,Local_03,Mining,6.9,58,II,IV,Male,Employee,Others
7/29/2016 0:00,Country_01,Local_03,Mining,9.6,49,I,IV,Male,Employee,Others
7/30/2016 0:00,Country_02,Local_07,Mining,6.6,35,I,II,Male,Employee,Others
8/2/2016 0:00,Country_02,Local_02,Mining,8.9,57,I,III,Male,Third Party (Remote),Others
8/1/2016 0:00,Country_02,Local_05,Metals,4.9,38,II,III,Female,Third Party,Manual Tools
8/2/2016 0:00,Country_03,Local_10,Others,3.9,33,I,I,Male,Third Party,Bees
8/1/2016 0:00,Country_01,Local_04,Mining,6.5,42,II,III,Male,Third Party,Others
8/4/2016 0:00,Country_02,Local_08,Metals,2.2,36,I,II,Male,Employee,Cut
8/11/2016 0:00,Country_02,Local_02,Mining,3.4,48,IV,IV,Male,Third Party (Remote),Others
8/11/2016 0:00,Country_02,Local_12,Others,0.7,40,I,IV,Female,Employee,Others
8/12/2016 0:00,Country_01,Local_03,Mining,4.7,44,III,IV,Male,Employee,Others
8/14/2016 0:00,Country_01,Local_01,Mining,2.1,53,III,IV,Male,Third Party,Others
8/14/2016 0:00,Country_02,Local_08,Metals,2.5,53,I,III,Male,Employee,Projection
8/15/2016 0:00,Country_01,Local_01,Mining,6.7,24,I,IV,Male,Third Party,Others
8/18/2016 0:00,Country_01,Local_03,Mining,9.3,41,I,III,Male,Employee,Others
8/19/2016 0:00,Country_01,Local_03,Mining,3,44,I,III,Male,Employee,Others
8/22/2016 0:00,Country_02,Local_05,Metals,5.4,50,I,III,Male,Employee,Pressed
8/24/2016 0:00,Country_02,Local_05,Metals,8.7,60,I,II,Male,Employee,Cut
8/25/2016 0:00,Country_01,Local_03,Mining,5.5,37,I,IV,Male,Employee,Others
8/24/2016 0:00,Country_01,Local_01,Mining,2.2,59,I,II,Male,Employee,Others
8/29/2016 0:00,Country_02,Local_05,Metals,5.2,20,I,II,Male,Employee,Chemical substances
8/27/2016 0:00,Country_01,Local_06,Metals,0.8,49,I,II,Male,Employee,Pressurized Systems / Chemical Substances
8/30/2016 0:00,Country_02,Local_08,Metals,4.6,46,II,II,Female,Third Party (Remote),Others
8/30/2016 0:00,Country_01,Local_06,Metals,8.5,37,I,II,Male,Third Party,Others
9/1/2016 0:00,Country_02,Local_05,Metals,7.6,46,II,IV,Male,Third Party (Remote),Manual Tools
9/2/2016 0:00,Country_01,Local_03,Mining,3.1,44,I,I,Male,Third Party,Others
9/4/2016 0:00,Country_01,Local_03,Mining,1,28,I,III,Male,Third Party,Others
9/3/2016 0:00,Country_01,Local_04,Mining,3.4,28,III,IV,Male,Employee,Others
9/4/2016 0:00,Country_01,Local_06,Metals,2.5,22,IV,IV,Male,Employee,Suspended Loads
9/6/2016 0:00,Country_02,Local_02,Mining,8.1,27,I,II,Male,Employee,Others
9/5/2016 0:00,Country_02,Local_05,Metals,8.8,56,I,II,Female,Employee,Venomous Animals
9/6/2016 0:00,Country_02,Local_07,Mining,7,51,I,II,Male,Employee,Others
9/13/2016 0:00,Country_01,Local_03,Mining,4.7,34,I,IV,Male,Third Party,Others
9/12/2016 0:00,Country_01,Local_11,Others,2.2,21,III,IV,Female,Employee,Others
9/13/2016 0:00,Country_02,Local_05,Metals,3.5,40,I,II,Male,Employee,Suspended Loads
9/15/2016 0:00,Country_03,Local_10,Others,4.5,31,I,I,Male,Third Party,Others
9/17/2016 0:00,Country_01,Local_06,Metals,2,32,I,II,Male,Third Party,Pressed
9/16/2016 0:00,Country_02,Local_05,Metals,0.6,24,II,IV,Male,Employee,Pressurized Systems
9/20/2016 0:00,Country_03,Local_10,Others,8.9,56,I,I,Male,Third Party,Fall
9/20/2016 0:00,Country_02,Local_05,Metals,7.6,50,I,II,Male,Third Party (Remote),Blocking and isolation of energies
9/20/2016 0:00,Country_01,Local_06,Metals,8.7,49,I,II,Male,Third Party,Others
9/21/2016 0:00,Country_01,Local_03,Mining,2.1,26,I,III,Male,Third Party,Others
9/21/2016 0:00,Country_02,Local_05,Metals,4.4,26,II,III,Male,Third Party,Manual Tools
9/22/2016 0:00,Country_01,Local_01,Mining,8,48,I,IV,Male,Employee,Others
9/22/2016 0:00,Country_01,Local_06,Metals,6.9,21,I,III,Male,Employee,Others
9/27/2016 0:00,Country_01,Local_06,Metals,2.8,21,I,II,Female,Third Party,Pressurized Systems
9/29/2016 0:00,Country_01,Local_04,Mining,4.9,34,I,II,Male,Third Party,Others
9/30/2016 0:00,Country_01,Local_04,Mining,0.1,29,I,I,Male,Employee,Others
10/1/2016 0:00,Country_01,Local_04,Mining,7.3,33,II,III,Male,Third Party,Others
10/3/2016 0:00,Country_01,Local_04,Mining,6.3,24,I,II,Male,Third Party,Others
10/3/2016 0:00,Country_02,Local_05,Metals,1.5,30,I,III,Male,Employee,Pressed
10/3/2016 0:00,Country_02,Local_08,Metals,5.9,33,I,II,Male,Employee,Pressed
10/3/2016 0:00,Country_01,Local_03,Mining,5.6,23,I,IV,Male,Third Party,Others
10/4/2016 0:00,Country_03,Local_10,Others,3.3,40,III,III,Male,Employee,Others
10/8/2016 0:00,Country_01,Local_04,Mining,0.9,20,II,II,Male,Third Party,Others
10/10/2016 0:00,Country_01,Local_03,Mining,9.1,30,I,IV,Male,Third Party (Remote),Others
10/10/2016 0:00,Country_01,Local_04,Mining,1.6,37,III,IV,Male,Employee,Others
10/11/2016 0:00,Country_02,Local_05,Metals,4.5,24,I,III,Male,Employee,Chemical substances
10/13/2016 0:00,Country_02,Local_02,Mining,1.9,21,II,II,Male,Third Party (Remote),Others
10/13/2016 0:00,Country_01,Local_03,Mining,5.6,27,III,IV,Male,Employee,Others
10/18/2016 0:00,Country_01,Local_03,Mining,3.5,30,IV,IV,Male,Third Party,Others
10/18/2016 0:00,Country_01,Local_03,Mining,3.1,20,I,IV,Male,Third Party,Others
10/20/2016 0:00,Country_02,Local_05,Metals,1.3,42,I,III,Male,Employee,Pressurized Systems
10/23/2016 0:00,Country_02,Local_02,Mining,4.1,54,II,IV,Male,Employee,Others
10/24/2016 0:00,Country_01,Local_01,Mining,3.1,58,I,IV,Male,Third Party,Others
10/26/2016 0:00,Country_01,Local_01,Mining,5.9,25,III,IV,Male,Employee,Others
10/27/2016 0:00,Country_01,Local_03,Mining,8,53,I,IV,Male,Employee,Others
10/29/2016 0:00,Country_01,Local_03,Mining,1.5,23,I,IV,Male,Employee,Others
10/29/2016 0:00,Country_02,Local_08,Metals,0.5,60,IV,IV,Male,Employee,Pressed
11/4/2016 0:00,Country_01,Local_03,Mining,0.9,49,IV,V,Male,Employee,Others
11/8/2016 0:00,Country_01,Local_04,Mining,2.7,25,I,IV,Male,Employee,Others
11/8/2016 0:00,Country_02,Local_08,Metals,9.2,46,I,II,Male,Employee,Others
11/11/2016 0:00,Country_01,Local_06,Metals,1.4,48,IV,IV,Male,Employee,Others
11/13/2016 0:00,Country_01,Local_06,Metals,3.6,43,I,II,Male,Employee,Plates
11/19/2016 0:00,Country_01,Local_04,Mining,1.5,57,III,IV,Male,Third Party,Others
11/21/2016 0:00,Country_03,Local_10,Others,9.8,51,I,I,Male,Third Party,Others
11/23/2016 0:00,Country_01,Local_06,Metals,2.1,24,I,IV,Male,Employee,Others
11/23/2016 0:00,Country_01,Local_04,Mining,9.2,58,I,II,Male,Employee,Others
11/25/2016 0:00,Country_02,Local_07,Mining,6.9,37,I,II,Male,Employee,Others
11/28/2016 0:00,Country_01,Local_03,Mining,9.4,45,I,I,Male,Third Party,Others
11/29/2016 0:00,Country_02,Local_08,Metals,7.6,41,II,III,Male,Employee,Others
11/30/2016 0:00,Country_01,Local_03,Mining,1.1,34,I,II,Male,Third Party,Others
12/1/2016 0:00,Country_01,Local_03,Mining,2.6,40,I,IV,Male,Employee,Others
12/1/2016 0:00,Country_01,Local_03,Mining,4.6,51,I,IV,Male,Employee,Others
12/1/2016 0:00,Country_01,Local_03,Mining,8,48,I,IV,Male,Third Party,Others
12/8/2016 0:00,Country_01,Local_01,Mining,9.4,40,I,IV,Male,Employee,Suspended Loads
12/8/2016 0:00,Country_01,Local_01,Mining,8.3,42,I,III,Male,Third Party (Remote),Others
12/9/2016 0:00,Country_02,Local_02,Mining,3.3,26,II,III,Male,Third Party (Remote),Others
12/10/2016 0:00,Country_01,Local_04,Mining,2.9,23,I,II,Male,Third Party,Others
12/12/2016 0:00,Country_02,Local_08,Metals,4.4,36,I,II,Male,Employee,Others
12/13/2016 0:00,Country_02,Local_02,Mining,2.1,50,I,II,Male,Third Party (Remote),Others
12/12/2016 0:00,Country_01,Local_04,Mining,3,38,III,III,Male,Employee,Others
12/12/2016 0:00,Country_02,Local_05,Metals,5.7,22,I,II,Male,Third Party (Remote),Others
12/13/2016 0:00,Country_01,Local_06,Metals,9.6,20,I,II,Male,Third Party,Others
